% time spent exploring,cumulative reward,episodes,mean 10 episode reward,mean 100 episode reward,steps
98,0.0,10,0.0,0.0,44
96,0.0,20,0.0,0.0,94
94,1.0,30,0.1,0.034,144
92,1.0,40,0.0,0.026,194
90,1.0,50,0.0,0.02,244
88,1.0,60,0.0,0.017,294
86,1.0,70,0.0,0.014,344
84,1.0,80,0.0,0.013,394
82,1.0,90,0.0,0.011,444
80,1.0,100,0.0,0.01,494
78,1.0,110,0.0,0.01,544
76,1.0,120,0.0,0.01,594
74,1.0,130,0.0,0.0,644
72,2.0,140,0.1,0.01,694
70,2.0,150,0.0,0.01,744
68,3.0,160,0.1,0.02,794
66,3.0,170,0.0,0.02,844
64,3.0,180,0.0,0.02,894
62,3.0,190,0.0,0.02,944
61,3.0,200,0.0,0.02,994
59,3.0,210,0.0,0.02,1044
57,3.0,220,0.0,0.02,1094
55,3.0,230,0.0,0.02,1144
53,3.0,240,0.0,0.01,1194
51,3.0,250,0.0,0.01,1244
49,4.0,260,0.1,0.01,1294
47,4.0,270,0.0,0.01,1344
45,5.0,280,0.1,0.02,1394
43,5.0,290,0.0,0.02,1444
41,5.0,300,0.0,0.02,1494
39,5.0,310,0.0,0.02,1544
37,5.0,320,0.0,0.02,1594
35,6.0,330,0.1,0.03,1644
33,6.0,340,0.0,0.03,1694
31,7.0,350,0.1,0.04,1744
29,7.0,360,0.0,0.03,1794
27,7.0,370,0.0,0.03,1844
25,7.0,380,0.0,0.02,1894
23,8.0,390,0.1,0.03,1944
21,8.0,400,0.0,0.03,1994
19,8.0,410,0.0,0.03,2044
17,8.0,420,0.0,0.03,2094
15,8.0,430,0.0,0.02,2144
13,8.0,440,0.0,0.02,2194
12,8.0,450,0.0,0.01,2244
10,9.0,460,0.1,0.02,2294
8,9.0,470,0.0,0.02,2344
6,10.0,480,0.1,0.03,2394
4,10.0,490,0.0,0.02,2444
2,11.0,500,0.1,0.03,2494
2,11.0,510,0.0,0.03,2544
2,12.0,520,0.1,0.04,2594
2,12.0,530,0.0,0.04,2644
2,13.0,540,0.1,0.05,2694
2,13.0,550,0.0,0.05,2744
2,14.0,560,0.1,0.05,2794
2,14.0,570,0.0,0.05,2844
2,14.0,580,0.0,0.04,2894
2,14.0,590,0.0,0.04,2944
2,15.0,600,0.1,0.04,2994
2,15.0,610,0.0,0.04,3044
2,16.0,620,0.1,0.04,3094
2,16.0,630,0.0,0.04,3144
2,18.0,640,0.2,0.05,3194
2,19.0,650,0.1,0.06,3244
2,20.0,660,0.1,0.06,3294
2,22.0,670,0.2,0.08,3344
2,22.0,680,0.0,0.08,3394
2,22.0,690,0.0,0.08,3444
2,22.0,700,0.0,0.07,3494
2,22.0,710,0.0,0.07,3544
2,24.0,720,0.2,0.08,3594
2,25.0,730,0.1,0.09,3644
2,26.0,740,0.1,0.08,3694
2,26.0,750,0.0,0.07,3744
2,27.0,760,0.1,0.07,3794
2,28.0,770,0.1,0.06,3844
2,30.0,780,0.2,0.08,3894
2,31.0,790,0.1,0.09,3944
2,32.0,800,0.1,0.1,3994
2,33.0,810,0.1,0.11,4044
2,36.0,820,0.3,0.12,4094
2,39.0,830,0.3,0.14,4144
2,40.0,840,0.1,0.14,4194
2,41.0,850,0.1,0.15,4244
2,41.0,860,0.0,0.14,4294
2,42.0,870,0.1,0.14,4344
2,42.0,880,0.0,0.12,4394
2,44.0,890,0.2,0.13,4444
2,44.0,900,0.0,0.12,4494
2,45.0,910,0.1,0.12,4544
2,45.0,920,0.0,0.09,4594
2,45.0,930,0.0,0.06,4644
2,48.0,940,0.3,0.08,4694
2,48.0,950,0.0,0.07,4744
2,49.0,960,0.1,0.08,4794
2,49.0,970,0.0,0.07,4844
2,49.0,980,0.0,0.07,4894
2,49.0,990,0.0,0.05,4944
2,51.0,1000,0.2,0.07,4994
2,51.0,1010,0.0,0.06,5044
2,51.0,1020,0.0,0.06,5094
2,51.0,1030,0.0,0.06,5144
2,51.0,1040,0.0,0.03,5194
2,53.0,1050,0.2,0.05,5244
2,55.0,1060,0.2,0.06,5294
2,56.0,1070,0.1,0.07,5344
2,56.0,1080,0.0,0.07,5394
2,56.0,1090,0.0,0.07,5444
2,58.0,1100,0.2,0.07,5494
2,58.0,1110,0.0,0.07,5544
2,58.0,1120,0.0,0.07,5594
2,58.0,1130,0.0,0.07,5644
2,62.0,1140,0.4,0.11,5694
2,64.0,1150,0.2,0.11,5744
2,64.0,1160,0.0,0.09,5794
2,65.0,1170,0.1,0.09,5844
2,66.0,1180,0.1,0.1,5894
2,66.0,1190,0.0,0.1,5944
2,66.0,1200,0.0,0.08,5994
2,66.0,1210,0.0,0.08,6044
2,67.0,1220,0.1,0.09,6094
2,67.0,1230,0.0,0.09,6144
2,67.0,1240,0.0,0.05,6194
2,70.0,1250,0.3,0.06,6244
2,71.0,1260,0.1,0.07,6294
2,71.0,1270,0.0,0.06,6344
2,73.0,1280,0.2,0.07,6394
2,73.0,1290,0.0,0.07,6444
2,74.0,1300,0.1,0.08,6494
2,74.0,1310,0.0,0.08,6544
2,74.0,1320,0.0,0.07,6594
2,76.0,1330,0.2,0.09,6644
2,77.0,1340,0.1,0.1,6694
2,77.0,1350,0.0,0.07,6744
2,79.0,1360,0.2,0.08,6794
2,80.0,1370,0.1,0.09,6844
2,80.0,1380,0.0,0.07,6894
2,81.0,1390,0.1,0.08,6944
2,82.0,1400,0.1,0.08,6994
2,83.0,1410,0.1,0.09,7044
2,85.0,1420,0.2,0.11,7094
2,85.0,1430,0.0,0.09,7144
2,87.0,1440,0.2,0.1,7194
2,88.0,1450,0.1,0.11,7244
2,88.0,1460,0.0,0.09,7294
2,89.0,1470,0.1,0.09,7344
2,89.0,1480,0.0,0.09,7394
2,90.0,1490,0.1,0.09,7444
2,94.0,1500,0.4,0.12,7494
2,96.0,1510,0.2,0.13,7544
2,98.0,1520,0.2,0.13,7594
2,101.0,1530,0.3,0.16,7644
2,103.0,1540,0.2,0.16,7694
2,106.0,1550,0.3,0.18,7744
2,107.0,1560,0.1,0.19,7794
2,109.0,1570,0.2,0.2,7844
2,112.0,1580,0.3,0.23,7894
2,115.0,1590,0.3,0.25,7944
2,115.0,1600,0.0,0.21,7994
2,116.0,1610,0.1,0.2,8044
2,116.0,1620,0.0,0.18,8094
2,118.0,1630,0.2,0.17,8144
2,119.0,1640,0.1,0.16,8194
2,122.0,1650,0.3,0.16,8244
2,123.0,1660,0.1,0.16,8294
2,125.0,1670,0.2,0.16,8344
2,127.0,1680,0.2,0.15,8394
2,130.0,1690,0.3,0.15,8444
2,131.0,1700,0.1,0.16,8494
2,131.0,1710,0.0,0.15,8544
2,131.0,1720,0.0,0.15,8594
2,133.0,1730,0.2,0.15,8644
2,135.0,1740,0.2,0.16,8694
